rmag,imag
25.629,25.16
26.272,25.994
24.735,24.468
25.484,25.275
24.533,24.185
21.676,21.355
24.723,22.662
23.804,23.124
26.409,26.047
26.944,26.293
24.863,22.959
21.845,20.836
23.738,23.325
26.109,24.477
22.193,20.234
25.094,24.462
22.533,22.339
26.585,26.095
24.017,23.473
23.014,22.933
25.751,23.767
26.966,26.407
19.736,19.01
25.492,25.413
22.898,21.194
23.725,23.396
24.907,24.454
25.205,24.477
23.849,23.714
25.335,24.567
25.006,24.84
26.385,25.719
24.995,24.585
26.113,25.644
25.19,24.453
25.02,24.76
25.707,25.077
20.883,19.394
22.671,21.822
24.731,24.229
17.573,17.436
24.237,22.892
25.626,25.196
22.174,20.895
25.846,25.63
25.2,24.518
26.713,24.52
25.326,24.748
26.806,26.256
24.661,22.506
26.528,25.991
24.19,23.857
20.632,20.53
11.725,11.658
18.075,17.537
26.647,26.121
20.225,19.531
23.101,23.006
25.657,24.573
24.006,22.678
24.48,24.391
25.438,24.35
25.075,23.733
20.763,19.519
25.14,24.829
16.771,16.259
23.998,23.574
25.298,24.971
25.216,24.879
26.417,24.652
21.103,20.873
25.901,24.946
26.429,26.258
26.599,26.247
25.925,25.428
25.192,22.973
26.08,25.72
23.12,22.426
25.517,23.786
25.12,25.016
23.622,23.26
26.488,26.005
23.09,22.675
23.103,22.141
24.508,24.397
24.686,24.444
18.295,18.601
25.824,25.502
25.319,24.565
24.64,23.918
26.333,25.86
26.846,26.261
24.965,24.713
25.841,25.245
26.247,26.052
26.783,26.212
26.316,25.76
25.084,24.528
26.921,26.364
25.54,25.022
25.664,25.186
25.97,25.316
25.891,25.354
26.252,25.885
26.618,26.316
26.08,25.794
23.513,22.602
26.988,26.501
24.114,22.82
25.197,24.91
20.369,19.561
25.2,24.781
19.62,19.396
24.102,23.656
26.565,26.053
23.949,23.354
26.929,26.512
25.718,25.074
21.794,21.33
26.032,24.975
22.6,20.3
24.55,23.378
22.86,22.077
22.748,21.373
21.413,20.157
25.349,24.92
23.144,23.027
22.378,21.304
26.404,25.816
23.837,23.664
24.235,23.662
24.642,24.413
22.898,20.648
26.462,26.081
25.924,25.681
25.951,25.307
25.656,25.184
24.33,24.28
20.885,20.8
25.528,25.138
26.375,25.961
24.679,24.307
20.023,19.937
24.977,24.569
22.708,22.266
24.683,24.603
24.147,23.746
25.859,25.643
24.416,23.449
21.683,20.7
20.382,19.606
25.431,25.312
21.684,20.22
25.584,25.158
25.555,24.992
24.261,23.871
25.409,23.637
23.168,21.851
23.926,23.086
23.169,21.836
21.608,21.489
21.191,20.108
25.874,24.337
25.009,24.514
25.112,24.689
26.818,26.238
22.885,22.764
20.88,20.792
25.631,24.788
25.183,25.017
25.678,25.357
19.441,19.358
26.976,26.44
26.73,26.364
24.534,24.374
25.241,24.578
25.074,24.596
25.787,25.394
25.51,25.338
16.61,16.522
19.612,18.391
26.486,25.778
25.178,24.594
24.279,23.878
20.012,18.922
23.607,21.459
24.068,23.664
25.743,25.574
18.746,18.562
22.476,22.198
26.758,26.232
20.632,19.817
26.752,26.421
25.593,25.397
23.117,22.249
25.361,24.845
20.905,20.368
22.609,21.617
26.944,26.177
24.419,23.976
19.09,18.31
24.111,23.712
24.423,22.874
26.261,25.996
22.94,22.617
23.465,23.301
22.223,21.335
26.98,26.456
22.686,22.471
24.403,23.067
16.993,16.835
26.808,26.352
26.847,26.373
23.878,23.404
25.245,24.092
25.274,25.007
26.724,24.421
24.284,23.84
26.896,26.179
26.118,25.586
23.816,23.003
24.111,22.229
24.969,24.356
26.015,25.619
24.88,24.496
15.457,15.374
25.349,24.875
23.318,22.067
21.126,20.933
24.492,24.328
21.744,21.645
17.986,17.3
24.388,23.99
26.476,25.406
23.202,22.729
25.108,24.686
21.613,21.337
25.886,25.648
26.091,25.721
26.371,25.931
25.124,24.451
15.104,14.987
22.129,20.558
26.339,25.93
23.636,23.213
25.855,25.421
23.883,21.884
26.183,25.699
23.588,23.012
26.048,25.822
26.014,25.512
19.647,19.005
25.746,25.269
21.776,20.963
25.305,25.017
26.978,26.436
24.393,24.106
24.451,23.286
22.963,21.908
24.521,23.926
25.439,25.046
25.5,25.013
23.804,21.799
26.088,25.657
21.546,21.016
24.943,24.338
25.393,25.181
26.308,25.955
19.449,19.355
25.312,24.848
23.261,22.819
25.283,24.35
23.826,23.628
22.478,22.407
26.275,26.127
25.859,23.258
24.619,24.376
23.545,21.506
26.782,26.389
17.093,17.007
22.514,20.25
23.502,22.808
20.514,20.274
26.151,25.447
25.997,25.437
25.605,25.224
25.97,25.278
24.151,23.954
9.997,9.798
26.33,25.952
24.093,23.509
25.619,25.404
21.169,21.09
22.211,22.122
24.884,24.528
26.849,26.39
26.113,25.992
25.363,24.624
25.707,25.485
22.945,22.658
26.536,24.717
24.539,24.069
20.549,20.225
22.946,22.705
26.184,25.48
26.789,26.065
25.056,24.956
22.848,22.302
21.794,21.45
26.412,25.917
20.829,20.729
26.334,25.945
26.463,24.025
23.955,23.597
23.593,23.258
23.662,23.247
25.965,25.617
24.971,24.374
20.1,19.716
26.418,26.022
23.577,23.029
21.802,20.618
25.127,22.672
24.372,24.044
22.33,21.862
21.543,21.394
23.509,23.332
25.94,25.533
25.781,23.534
25.805,25.354
26.615,26.449
25.137,24.604
26.914,26.712
26.598,25.947
26.748,26.321
20.993,20.641
23.587,22.343
21.974,21.288
16.407,15.894
26.691,26.221
26.745,25.979
20.63,19.313
26.792,24.254
24.833,24.671
26.092,25.631
19.683,19.604
26.345,26.049
23.905,23.378
26.007,25.533
24.238,22.941
24.836,24.431
21.085,20.214
21.876,20.404
26.338,25.907
26.504,25.984
26.807,26.497
14.06,13.843
26.531,26.206
23.575,23.335
25.362,23.287
16.913,16.801
24.859,24.607
26.316,25.939
25.98,25.739
20.065,19.57
22.241,21.034
17.09,16.934
26.624,26.073
25.141,24.168
26.131,25.728
24.171,22.001
24.9,24.754
26.49,25.985
24.352,24.25
23.478,23.367
23.064,22.989
26.423,25.89
20.847,20.712
26.951,26.564
26.924,26.583
26.614,26.032
24.402,24.016
26.104,23.716
25.32,24.729
25.239,24.799
21.987,21.784
24.669,23.374
26.704,26.34
26.684,26.187
22.989,22.739
26.022,25.434
21.004,20.686
23.128,22.748
25.363,24.84
22.052,21.278
21.556,20.994
25.129,24.071
20.513,20.367
