rmag,imag
25.492,24.694
19.298,18.789
26.502,26.078
22.008,21.836
26.557,26.204
25.944,25.61
18.615,18.008
25.043,24.604
26.586,25.93
24.602,24.081
24.063,23.587
26.884,26.388
21.616,21.008
24.655,24.514
26.328,25.801
25.97,25.134
25.005,24.474
24.236,23.039
26.459,26.144
13.911,13.808
25.756,25.12
21.595,21.467
25.511,25.367
26.465,26.331
25.673,23.525
21.081,20.872
23.855,22.529
25.594,24.272
22.578,21.124
24.144,23.791
26.886,24.738
25.484,24.892
25.798,25.387
24.236,24.14
25.505,22.928
25.345,25.234
24.185,22.152
17.655,17.335
25.359,23.416
22.349,21.786
25.964,23.627
23.704,23.268
25.265,24.81
24.315,24.07
25.698,25.346
25.345,25.099
22.173,22.013
23.367,23.162
25.599,25.233
26.821,26.462
25.606,25.131
26.983,26.603
24.443,24.012
25.395,24.48
26.794,26.449
23.267,22.919
26.537,26.143
24.543,24.373
26.249,25.868
25.297,25.111
21.697,21.091
25.001,24.544
25.912,25.08
26.34,25.647
22.614,21.063
25.794,24.746
25.031,24.273
21.907,20.594
21.159,20.967
23.429,23.301
26.726,26.22
25.464,23.692
26.586,25.905
25.091,24.917
26.935,26.227
25.492,24.231
25.456,24.78
23.935,23.46
24.256,23.795
24.459,24.358
19.147,17.828
26.911,26.218
26.779,26.302
24.899,23.141
22.672,22.557
24.862,23.58
20.37,20.278
20.762,18.997
26.792,26.254
23.045,21.285
23.175,22.741
23.083,22.118
22.605,21.746
25.102,23.878
25.068,24.575
26.445,25.869
25.187,24.736
26.215,25.804
25.843,25.157
23.878,23.72
24.98,24.769
24.035,23.446
23.38,23.235
23.925,23.052
25.717,25.121
24.997,24.461
20.384,20.3
22.035,21.052
26.676,26.288
24.187,23.12
20.871,19.851
25.695,25.293
22.236,22.01
25.672,25.385
23.117,22.98
25.459,25.314
25.688,25.271
22.722,22.15
25.121,24.613
24.861,24.427
25.456,25.082
22.847,22.756
19.682,19.555
26.497,26.251
25.278,25.027
25.622,25.478
22.917,22.7
22.217,21.836
22.567,21.364
26.393,25.7
26.822,26.283
22.152,21.063
23.53,23.117
24.135,23.662
26.655,26.187
26.822,27.107
24.877,24.14
25.517,23.789
25.495,25.1
17.604,17.491
25.663,25.437
25.284,24.857
26.21,25.657
26.038,25.89
24.227,23.86
23.411,22.61
23.761,23.487
26.647,25.918
23.887,22.771
25.433,25.049
25.911,25.294
25.447,24.91
23.897,22.192
26.907,26.442
24.255,21.968
26.228,24.542
25.097,24.525
26.038,24.042
21.455,19.737
26.044,25.928
23.64,23.122
24.911,24.71
26.463,26.062
22.176,22.013
25.284,24.843
23.529,23.312
26.846,26.22
26.836,26.593
23.842,23.548
26.455,26.338
25.051,24.943
23.041,22.902
24.712,24.294
24.852,22.953
26.564,26.277
26.916,26.185
24.127,23.998
21.745,20.411
26.678,26.208
25.904,25.711
23.468,21.238
26.824,26.694
26.448,26.031
25.04,24.638
22.311,20.944
25.741,25.572
20.277,19.116
26.195,25.281
24.274,22.909
24.274,24.068
25.588,25.084
26.525,26.142
22.599,22.171
26.311,25.875
24.189,22.092
20.887,20.17
22.946,21.761
26.135,24.731
23.246,23.222
26.165,25.897
24.036,23.424
20.536,20.159
21.517,21.39
22.952,22.828
24.473,24.283
24.926,24.202
26.284,26.531
26.654,26.453
22.722,22.81
24.615,22.407
22.414,22.321
26.177,25.935
24.144,24.026
21.027,20.958
25.657,25.419
24.382,23.902
26.739,24.453
22.846,22.732
26.632,26.087
21.871,21.799
22.14,21.858
25.836,23.251
24.904,23.502
26.967,26.495
26.125,25.914
17.906,17.647
22.906,22.792
26.954,26.187
23.806,23.291
26.577,26.103
23.832,23.774
26.36,25.498
22.308,21.361
24.015,23.542
25.593,25.141
25.154,24.68
26.028,25.653
26.11,25.725
7.051,6.824
26.062,25.83
21.104,20.879
25.573,24.29
25.466,24.938
25.907,25.401
24.439,23.936
26.142,25.671
26.2,26.032
26.791,26.32
25.515,25.083
26.944,26.337
20.528,20.348
25.465,25.307
24.508,24.172
25.607,25.185
23.519,23.384
26.596,25.84
22.008,21.078
24.585,23.702
23.999,23.884
25.29,24.768
21.962,21.178
25.676,25.186
24.937,24.606
21.627,20.131
26.448,26.172
24.367,24.061
26.83,26.373
20.501,20.42
24.181,23.968
26.581,26.164
24.425,24.258
18.306,18.007
26.76,26.262
25.328,24.83
25.47,25.318
24.47,23.92
26.311,26.199
22.006,21.588
26.661,26.208
26.709,26.181
24.091,23.309
24.494,23.883
22.706,22.375
23.492,23.241
18.897,18.793
25.728,25.319
26.57,25.982
20.339,19.436
23.347,22.283
25.838,25.349
21.152,20.884
21.284,20.258
23.558,23.099
25.577,23.741
26.96,26.799
23.925,23.518
19.967,19.738
24.606,24.302
24.849,24.144
23.14,22.116
24.923,24.202
22.568,21.445
23.719,23.416
15.273,15.19
24.915,24.523
23.096,23.001
23.195,22.391
24.813,24.51
26.23,23.633
19.127,18.959
25.69,25.216
23.134,22.19
24.728,24.502
23.914,23.527
26.711,26.369
25.816,25.501
25.111,24.916
23.443,23.065
24.321,22.072
25.391,24.935
19.792,19.705
26.9,26.426
20.067,19.991
23.31,21.793
20.244,20.127
26.98,25.851
24.637,24.157
26.257,25.704
20.971,20.05
25.411,24.899
24.192,23.138
21.247,20.287
22.904,22.152
23.759,23.674
18.941,17.664
24.569,24.401
23.655,23.33
21.219,20.861
25.934,25.791
18.268,16.846
26.719,25.944
24.798,24.444
25.611,25.152
23.91,23.662
25.385,24.756
23.148,22.581
24.613,24.225
25.336,24.804
24.204,23.909
23.622,23.168
26.31,25.985
24.611,24.472
25.366,24.855
22.706,21.905
25.58,25.315
26.95,24.786
23.016,21.604
24.894,24.765
26.059,23.627
25.762,25.676
25.949,24.327
26.432,25.761
23.738,23.668
26.403,25.736
26.052,25.316
26.226,24.448
26.647,25.616
21.592,20.317
20.259,19.492
26.727,26.081
21.609,20.566
26.905,26.549
21.833,20.425
24.32,23.55
20.227,19.904
22.187,22.125
25.56,25.301
21.394,20.876
25.811,24.324
26.9,26.436
26.598,26.143
26.61,26.203
26.485,26.182
25.423,24.947
25.833,25.705
22.339,21.398
20.411,20.313
23.988,23.677
24.72,24.191
26.84,26.445
26.76,26.373
26.301,25.856
25.196,22.901
25.59,25.295
25.281,25.162
26.038,25.863
26.924,26.67
17.601,17.317
22.944,22.685
24.107,23.789
25.639,25.452
26.392,26.06
24.699,24.437
25.895,25.588
24.43,24.137
26.913,26.749
24.031,23.505
22.891,22.743
25.433,25.051
26.882,26.569
25.978,25.663
26.488,24.989
25.714,24.955
21.815,21.73
22.279,21.939
21.214,21.081
23.177,22.73
24.408,23.717
25.292,23.597
21.775,20.906
20.871,20.525
14.162,14.055
24.336,23.194
25.634,25.391
23.674,22.802
25.65,25.452
25.804,25.618
26.554,26.248
26.1,24.733
26.097,25.625
22.871,22.678
22.963,22.823
21.406,21.17
25.312,24.788
26.082,25.647
26.651,26.325
24.298,23.962
24.312,23.233
