# DP2 COSMOS cutout sample: full
#
# Sample: full - r < 23, no dm cut, sorted by dm desc
# Cuts applied:
#     base sample                                 4,055
#     r < 23                                        443
# Sorted by r_psf_minus_cModel (descending); obj_num is 1..N in that order.
#
# 443 objects
#
#  N  objectId         RA        DEC   r_mag      dm   u_mag   g_mag   i_mag   z_mag   y_mag  blend  isol  hst_sep
# ----------------------------------------------------------------------------------------------------------------
  171  788012012167791123  150.343890   1.881882  21.725   0.037  24.602  22.728  21.307  21.103  21.010      Y     N   0.0808
  172  788014829666334187  150.141195   2.543503  22.484   0.037  23.469  22.767  22.393  22.332  22.360      Y     N   0.0223
  173  788015585580570761  149.931977   2.570993  22.956   0.037  24.213  23.323  22.741  22.680  22.716      Y     N   0.0148
  174  788012630643077936  150.462964   2.009009  20.966   0.037  21.504  21.155  20.991  20.938  20.558      Y     N   0.0080
  175  788016272775344835  150.079163   2.840374  21.020   0.036  23.090  21.643  20.744  20.639  20.567      Y     N   0.0689
  176  788012561923595214  150.739431   1.901525  22.506   0.036  23.300  22.773  22.249  22.022  21.688      Y     N   0.0088
  177  788011393692496607  150.151263   1.667795  22.795   0.036  23.788  23.144  22.631  22.402  22.353      Y     N   0.0083
  178  788015035824759704  149.730235   2.453798  21.932   0.036  22.884  22.527  21.669  21.365  21.165      Y     N   0.0091
  179  788016204055869209  150.142683   2.871904  22.886   0.035  25.962  24.113  22.325  22.076  21.948      Y     N   0.1220
  180  788015448141624261  150.412772   2.680667  22.921   0.035  25.504  24.068  22.347  22.107  21.909      Y     N   0.0722
  181  788014692227374743  150.465312   2.439575  22.200   0.035  23.388  22.562  22.046  21.987  21.949      Y     N   0.0129
  182  788014073752092527  150.347692   2.391000  22.986   0.035  24.042  23.525  22.288  22.043  21.880      Y     N   0.0193
  183  788011324972992405  150.320613   1.634472  20.850   0.034  21.465  20.985  20.766  20.567  20.598      N     Y   0.0049
  184  788014898385808248  150.068394   2.483975  21.798   0.034  23.179  22.223  21.595  21.541  21.492      Y     N   0.0227
  185  788013592715747222  149.822693   2.089644  22.084   0.034  22.531  22.277  21.840  21.519  21.598      Y     N   0.0225
  186  788012149606744733  149.951054   1.883043  22.828   0.034  25.389  23.663  22.446  22.280  22.203      Y     N   0.0726
  187  788014211191040806  150.050989   2.321854  21.824   0.034  23.054  22.199  21.693  21.680  21.676      Y     N   0.0342
  188  788011943448311088  150.418996   1.855965  22.661   0.034  24.474  23.222  22.420  22.380  22.303      Y     N   0.0455
  189  788015035824765155  149.721325   2.540003  22.015   0.033  22.772  22.241  21.591  21.616  21.593      Y     N   0.0038
  190  788012768082030013  150.147485   1.987122  22.156   0.033  23.830  22.674  21.960  21.900  21.937      Y     N   0.0336
  191  788015379422121519  150.494662   2.698419  22.895   0.033  24.934  23.493  22.655  22.547  22.592      N     Y   0.0370
  192  788015448141618912  150.300622   2.598258  22.702   0.033  25.001  23.692  22.194  21.809  21.585      Y     N   0.0241
  193  788015997897431907  150.686747   2.746813  21.478   0.032  22.037  21.744  21.095  20.982  20.897      Y     N   0.0136
  194  788013455276791913  150.180707   2.075962  22.715   0.032  24.707  23.214  22.480  22.509  22.094      Y     N   0.0111
  195  788016410214297180  149.742990   2.839894  17.737   0.032  21.285  18.809  17.292  17.098  16.973      Y     N   0.0319
  196  788015448141623554  150.297763   2.673503  22.808   0.031  23.457  23.098  22.340  22.255  22.230      Y     N   0.0187
  197  788014211191040388  149.948326   2.317769  19.595   0.031  23.336  20.812  18.823  18.441  18.244      Y     N   0.0260
  198  788012287045689170  149.671228   1.741295  22.649   0.030  24.935  23.631  22.190  21.961  21.891      Y     N   0.1041
  199  788012287045694775  149.599729   1.842357  21.965   0.030  25.956  23.318  20.663  20.087  19.811      Y     N   0.1363
  200  788014279910513703  149.801668   2.252371  22.154   0.030  25.049  23.420  21.111  20.621  20.375      Y     N   0.0751
  201  788013180398885668  150.752233   2.081074  17.874   0.030  21.803  19.179  16.866  16.413  16.194      Y     N   0.1042
  202  788016341494816247  149.835828   2.777232  19.176   0.030  23.168  20.495  17.985  17.453  17.198      Y     N   0.1200
  203  788012905520983932  149.844014   1.974541  22.702   0.029  26.067  23.951  22.079  21.786  21.628      Y     N   0.1094
  204  788014073752082698  150.249687   2.247026  22.965   0.029  25.725  24.077  22.440  22.186  22.146      Y     N   0.0681
  205  788014760946854605  150.306011   2.484341  22.877   0.029  24.012  23.207  22.731  22.710  22.765      Y     N   0.0365
  206  788013249118365138  150.622233   2.119093  19.280   0.029  21.758  20.012  18.983  18.852  18.773      Y     N   0.0522
  207  788014692227379536  150.415940   2.525760  22.842   0.029  22.907  23.170  22.701  22.676  22.517      Y     N   0.0059
  208  788015585580577888  149.936625   2.680227  21.560   0.029  22.027  22.241  21.561  21.438  21.439      Y     N   0.0228
  209  788014211191041107  149.965031   2.327529  22.633   0.028  26.917  23.968  21.954  21.613  21.426      Y     N   0.0780
  210  788012012167788265  150.388308   1.836390  22.122   0.028  23.276  22.443  21.987  21.974  22.004      Y     N   0.0208
  211  788016135336387838  150.361826   2.779127  22.381   0.028  23.201  22.600  22.388  22.218  21.907      Y     N   0.0229
  212  788012630643080791  150.443682   2.049087  20.271   0.027  20.686  20.279  20.230  20.107  20.122      Y     N   0.0066
  213  788012287045696223  149.605693   1.860867  21.780   0.027  23.505  22.153  21.688  21.664  21.647      Y     N   0.0335
  214  788014692227375540  150.497512   2.457247  22.737   0.027  24.002  23.150  22.689  22.538  22.353      Y     N   0.0150
  215  788015997897431646  150.627695   2.741012  20.181   0.027  21.046  20.501  20.114  19.774  20.027      Y     N   0.0182
  216  788016410214293935  149.652224   2.783160  22.419   0.027  23.855  22.864  22.247  22.193  22.195      Y     N   0.0277
  217  788014417349468134  149.533786   2.248622  21.855   0.027  25.791  23.184  20.681  20.142  19.897      Y     N   0.1107
  218  788015310702670199  150.612399   2.678710  22.426   0.027      --  27.639  22.508  21.052  20.852      Y     N   0.1923
  219  788015997897431931  150.670429   2.763768  21.666   0.027  22.937  22.072  21.496  21.455  21.404      Y     N   0.0416
  220  788014829666334840  150.167821   2.553722  22.569   0.027  25.677  23.784  21.906  21.605  21.426      Y     N   0.1335
  221  788015104544236127  149.574257   2.436689  21.845   0.027  23.410  22.308  21.664  21.610  21.577      Y     N   0.0466
  222  788011462411970545  149.977679   1.644910  22.224   0.027  23.670  22.673  22.076  22.018  22.008      Y     N   0.0182
  223  788015791739000153  149.528660   2.575579  20.084   0.027  22.045  20.671  19.853  19.764  19.705      Y     N   0.0836
  224  788015310702668604  150.635371   2.649908  21.311   0.026  21.757  21.632  21.213  21.170  21.012      Y     N   0.0122
  225  788012218326216882  149.821917   1.838632  20.931   0.026  21.165  21.231  20.939  20.913  20.831      Y     N   0.0490
  226  788015310702670228  150.671744   2.685639  22.370   0.026  25.461  23.628  21.451  21.017  20.806      Y     N   0.0378
  227  788013661435229550  149.649222   2.191252  22.703   0.026  22.699  22.697  22.718  22.427  22.727      Y     N   0.0312
