N_star_train,N_galaxy_train,density_method,pS_bin_count,epsilon_floor,density_built_successfully,field,external_label_source,magnitude_bin,fold,band,cross_validation_used,notes
4,910,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,1,i,True,5-fold out-of-fold likelihood
4,910,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,1,z,True,5-fold out-of-fold likelihood
4,784,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,1,y,True,5-fold out-of-fold likelihood
0,664,histogram_density,50,1e-06,False,ECDFS,HST,24.5 <= mag < 25,2,u,True,density not built because one class has no valid pS values
4,909,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,2,g,True,5-fold out-of-fold likelihood
4,910,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,2,r,True,5-fold out-of-fold likelihood
4,910,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,2,i,True,5-fold out-of-fold likelihood
4,910,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,2,z,True,5-fold out-of-fold likelihood
4,785,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,2,y,True,5-fold out-of-fold likelihood
1,666,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,3,u,True,5-fold out-of-fold likelihood
4,911,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,3,g,True,5-fold out-of-fold likelihood
4,911,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,3,r,True,5-fold out-of-fold likelihood
4,911,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,3,i,True,5-fold out-of-fold likelihood
4,911,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,3,z,True,5-fold out-of-fold likelihood
4,781,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,3,y,True,5-fold out-of-fold likelihood
1,670,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,4,u,True,5-fold out-of-fold likelihood
4,910,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,4,g,True,5-fold out-of-fold likelihood
4,911,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,4,r,True,5-fold out-of-fold likelihood
4,911,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,4,i,True,5-fold out-of-fold likelihood
4,911,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,4,z,True,5-fold out-of-fold likelihood
4,777,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,4,y,True,5-fold out-of-fold likelihood
1,748,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,0,u,True,5-fold out-of-fold likelihood
7,1142,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,0,g,True,5-fold out-of-fold likelihood
7,1147,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,0,r,True,5-fold out-of-fold likelihood
7,1147,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,0,i,True,5-fold out-of-fold likelihood
7,1135,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,0,z,True,5-fold out-of-fold likelihood
6,888,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,0,y,True,5-fold out-of-fold likelihood
3,762,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,1,u,True,5-fold out-of-fold likelihood
7,1138,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,1,g,True,5-fold out-of-fold likelihood
7,1147,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,1,r,True,5-fold out-of-fold likelihood
7,1147,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,1,i,True,5-fold out-of-fold likelihood
7,1132,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,1,z,True,5-fold out-of-fold likelihood
6,873,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,1,y,True,5-fold out-of-fold likelihood
3,747,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,2,u,True,5-fold out-of-fold likelihood
7,1138,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,2,g,True,5-fold out-of-fold likelihood
7,1147,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,2,r,True,5-fold out-of-fold likelihood
7,1147,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,2,i,True,5-fold out-of-fold likelihood
7,1132,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,2,z,True,5-fold out-of-fold likelihood
6,874,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,2,y,True,5-fold out-of-fold likelihood
2,766,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,3,u,True,5-fold out-of-fold likelihood
7,1139,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,3,g,True,5-fold out-of-fold likelihood
7,1147,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,3,r,True,5-fold out-of-fold likelihood
7,1147,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,3,i,True,5-fold out-of-fold likelihood
7,1134,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,3,z,True,5-fold out-of-fold likelihood
6,882,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,3,y,True,5-fold out-of-fold likelihood
3,745,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,4,u,True,5-fold out-of-fold likelihood
8,1143,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,4,g,True,5-fold out-of-fold likelihood
8,1148,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,4,r,True,5-fold out-of-fold likelihood
8,1148,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,4,i,True,5-fold out-of-fold likelihood
8,1131,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,4,z,True,5-fold out-of-fold likelihood
8,879,histogram_density,50,1e-06,True,ECDFS,HST,25 <= mag < 25.5,4,y,True,5-fold out-of-fold likelihood
2,614,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,0,u,True,5-fold out-of-fold likelihood
5,1071,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,0,g,True,5-fold out-of-fold likelihood
5,1097,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,0,r,True,5-fold out-of-fold likelihood
5,1093,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,0,i,True,5-fold out-of-fold likelihood
5,1053,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,0,z,True,5-fold out-of-fold likelihood
4,753,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,0,y,True,5-fold out-of-fold likelihood
2,627,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,1,u,True,5-fold out-of-fold likelihood
5,1065,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,1,g,True,5-fold out-of-fold likelihood
5,1097,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,1,r,True,5-fold out-of-fold likelihood
5,1095,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,1,i,True,5-fold out-of-fold likelihood
5,1050,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,1,z,True,5-fold out-of-fold likelihood
4,757,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,1,y,True,5-fold out-of-fold likelihood
1,631,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,2,u,True,5-fold out-of-fold likelihood
6,1068,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,2,g,True,5-fold out-of-fold likelihood
6,1098,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,2,r,True,5-fold out-of-fold likelihood
6,1095,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,2,i,True,5-fold out-of-fold likelihood
6,1048,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,2,z,True,5-fold out-of-fold likelihood
6,748,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,2,y,True,5-fold out-of-fold likelihood
1,638,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,3,u,True,5-fold out-of-fold likelihood
6,1070,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,3,g,True,5-fold out-of-fold likelihood
6,1098,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,3,r,True,5-fold out-of-fold likelihood
6,1095,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,3,i,True,5-fold out-of-fold likelihood
6,1049,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,3,z,True,5-fold out-of-fold likelihood
5,757,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,3,y,True,5-fold out-of-fold likelihood
2,630,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,4,u,True,5-fold out-of-fold likelihood
6,1070,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,4,g,True,5-fold out-of-fold likelihood
6,1098,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,4,r,True,5-fold out-of-fold likelihood
6,1094,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,4,i,True,5-fold out-of-fold likelihood
6,1048,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,4,z,True,5-fold out-of-fold likelihood
5,745,histogram_density,50,1e-06,True,ECDFS,HST,25.5 <= mag < 26,4,y,True,5-fold out-of-fold likelihood
4,314,histogram_density,50,1e-06,True,ECDFS,HST,26 <= mag < 26.5,0,u,True,5-fold out-of-fold likelihood
4,516,histogram_density,50,1e-06,True,ECDFS,HST,26 <= mag < 26.5,0,g,True,5-fold out-of-fold likelihood
4,543,histogram_density,50,1e-06,True,ECDFS,HST,26 <= mag < 26.5,0,r,True,5-fold out-of-fold likelihood
4,543,histogram_density,50,1e-06,True,ECDFS,HST,26 <= mag < 26.5,0,i,True,5-fold out-of-fold likelihood
4,510,histogram_density,50,1e-06,True,ECDFS,HST,26 <= mag < 26.5,0,z,True,5-fold out-of-fold likelihood
3,364,histogram_density,50,1e-06,True,ECDFS,HST,26 <= mag < 26.5,0,y,True,5-fold out-of-fold likelihood
4,308,histogram_density,50,1e-06,True,ECDFS,HST,26 <= mag < 26.5,1,u,True,5-fold out-of-fold likelihood
4,517,histogram_density,50,1e-06,True,ECDFS,HST,26 <= mag < 26.5,1,g,True,5-fold out-of-fold likelihood
4,543,histogram_density,50,1e-06,True,ECDFS,HST,26 <= mag < 26.5,1,r,True,5-fold out-of-fold likelihood
4,543,histogram_density,50,1e-06,True,ECDFS,HST,26 <= mag < 26.5,1,i,True,5-fold out-of-fold likelihood
4,515,histogram_density,50,1e-06,True,ECDFS,HST,26 <= mag < 26.5,1,z,True,5-fold out-of-fold likelihood
3,357,histogram_density,50,1e-06,True,ECDFS,HST,26 <= mag < 26.5,1,y,True,5-fold out-of-fold likelihood
4,319,histogram_density,50,1e-06,True,ECDFS,HST,26 <= mag < 26.5,2,u,True,5-fold out-of-fold likelihood
4,519,histogram_density,50,1e-06,True,ECDFS,HST,26 <= mag < 26.5,2,g,True,5-fold out-of-fold likelihood
4,543,histogram_density,50,1e-06,True,ECDFS,HST,26 <= mag < 26.5,2,r,True,5-fold out-of-fold likelihood
4,543,histogram_density,50,1e-06,True,ECDFS,HST,26 <= mag < 26.5,2,i,True,5-fold out-of-fold likelihood
4,517,histogram_density,50,1e-06,True,ECDFS,HST,26 <= mag < 26.5,2,z,True,5-fold out-of-fold likelihood
4,366,histogram_density,50,1e-06,True,ECDFS,HST,26 <= mag < 26.5,2,y,True,5-fold out-of-fold likelihood
