obj_num,RA,DEC,objectId,refBand,refExtendedness,detect_fromBlend,detect_isIsolated,parentObjectId,u_cModelMag,u_psfMag,u_psf_minus_cModel,u_extendedness,u_blendedness,g_cModelMag,g_psfMag,g_psf_minus_cModel,g_extendedness,g_blendedness,r_cModelMag,r_psfMag,r_psf_minus_cModel,r_extendedness,r_blendedness,i_cModelMag,i_psfMag,i_psf_minus_cModel,i_extendedness,i_blendedness,z_cModelMag,z_psfMag,z_psf_minus_cModel,z_extendedness,z_blendedness,y_cModelMag,y_psfMag,y_psf_minus_cModel,y_extendedness,y_blendedness,hst_id,hst_label,hst_sep_arcsec,hst_acs_mu_class,hst_flag_combined
21,150.09453296973143,2.702865885507923,788015516861102869,i,1.0,True,False,788015516861074816,22.066924329873324,22.10791861473945,0.04099428486612666,1.0,-28.065223693847656,21.77578872458287,21.84372081215082,0.0679320875679501,1.0,-83.75030517578125,21.67143595974416,21.7601204006307,0.08868444088654215,1.0,-56.586647033691406,21.58497962249356,21.70701932717869,0.12203970468512892,1.0,-52.379241943359375,21.563661901857422,21.661899682028157,0.09823778017073437,1.0,-18.111652374267578,21.563910090861206,21.648815738356067,0.0849056474948604,1.0,-4.683450698852539,774859,0,0.04959416709617391,2,0
22,149.90343748834556,2.818248863553604,788016341494818899,i,1.0,True,False,788016341494794656,23.320774629984474,23.381203596183607,0.06042896619913307,,-6.5257039070129395,21.88023754807559,21.964745828912434,0.08450828083684314,1.0,-95.77716064453125,20.70264466185109,20.783375179638792,0.08073051778770335,1.0,-201.56314086914062,19.759216198095608,19.858217308055615,0.09900110996000677,1.0,-422.7261047363281,19.292615970650346,19.376467947928784,0.08385197727843874,1.0,-274.4855041503906,19.08731923940373,19.170046165123175,0.08272692571944518,0.0,-58.45021057128906,347035,0,0.02103481530480212,2,1
23,149.8551134866004,1.8273038639862322,788012218326216146,i,1.0,True,False,788012218326190707,25.282288357714958,25.39515019404631,0.11286183633135138,,-0.2909761369228363,22.79130907901748,22.872979713773024,0.08167063475554315,1.0,-32.57564163208008,21.472630599613783,21.548449582750926,0.07581898313714319,1.0,-80.40409088134766,20.64204942020179,20.733045321556595,0.0909959013548054,1.0,-111.74006652832031,20.262685186231305,20.33616086670193,0.0734756804706258,1.0,-75.73070526123047,20.06019537000195,20.144914245161985,0.08471887516003562,1.0,-28.570058822631836,454848,0,0.02305694570019081,2,0
24,149.99204706658693,2.268741677001481,788014211191037330,i,1.0,True,False,788014211191014453,23.332880286372948,23.36934399088412,0.03646370451117065,,-7.149261474609375,21.511393017067952,21.595764256431593,0.08437123936364088,,-102.63652801513672,20.417774455687155,20.490829697239377,0.07305524155222187,1.0,-236.65609741210938,19.89086176168481,19.994272370515528,0.10341060883071762,1.0,-375.7710266113281,19.64220373482638,19.724913465405248,0.08270973057886621,1.0,-147.12054443359375,19.497229023922095,19.572911329536833,0.07568230561473754,1.0,-43.930633544921875,841435,0,0.25209978975855896,2,0
25,149.69875724075573,2.4412299752558586,788015035824759080,i,1.0,True,False,788015035824735468,22.344925215793666,22.395984991666275,0.05105977587260924,1.0,-19.021366119384766,22.00190780777678,22.097054181542113,0.0951463737653313,1.0,-56.85993576049805,21.429784700697347,21.502322884022455,0.07253818332510775,1.0,-72.19598388671875,20.98886690600318,21.1001738258898,0.11130691988661923,1.0,-74.64702606201172,21.037481550007975,21.128956953240518,0.09147540323254333,1.0,-29.579954147338867,20.849871075831338,20.941709217116195,0.09183814128485679,1.0,-8.890213966369629,560964,0,0.007861782508912136,2,1
26,149.88100184768334,2.4508338082604597,788014967105282294,i,1.0,True,False,788014967105258823,22.03378053515904,22.083690657457915,0.04991012229887559,1.0,-27.588539123535156,21.80264841309693,21.865673560074104,0.06302514697717498,1.0,-77.41770935058594,21.39807463243018,21.470326195124862,0.07225156269468158,1.0,-91.28722381591797,21.24234550993313,21.335874243381312,0.09352873344818136,1.0,-80.54510498046875,21.108169407060423,21.187033561163723,0.07886415410330017,1.0,-35.30323791503906,20.967240357738508,21.04604076576073,0.07880040802222155,1.0,-10.716374397277832,871221,0,0.014177038843160144,2,0
27,150.23811575967204,2.4459253459210974,788014829666327899,i,1.0,True,False,788014829666305265,24.574424376549985,24.63282199915194,0.058397622601955135,,-1.2121461629867554,22.559445438946994,22.635558282462398,0.07611284351540348,1.0,-31.153079986572266,21.506995433662908,21.578633456943116,0.07163802328020807,1.0,-51.305580139160156,21.08441203143586,21.182448064591267,0.09803603315540599,1.0,-72.24320983886719,20.8831326338522,20.963132793793815,0.08000015994161558,1.0,-43.782012939453125,20.76349292820509,20.84701271018447,0.08351978197937981,1.0,-11.069904327392578,512402,0,0.01844570691801745,2,0
28,150.1391147550453,1.8769674888772714,788012080887267077,i,1.0,True,False,788012080887238485,21.34272877943033,21.394825732068764,0.052096952638432725,1.0,-50.505226135253906,20.941164805617042,21.013242521435842,0.07207771581879996,1.0,-246.966064453125,20.775204480950816,20.846176223270497,0.0709717423196814,1.0,-176.65525817871094,20.616684402530993,20.734194479597697,0.11751007706670435,1.0,-159.7257537841797,20.315689924655857,20.415596335540855,0.09990641088499785,1.0,-72.24722290039062,20.292320091306387,20.397387551055644,0.10506745974925735,1.0,-26.8485050201416,75471,0,0.003976560462223035,2,1
29,150.6629072976727,2.72042038458197,788015310702672733,i,1.0,True,False,788015310702645314,25.047151392308827,25.073569881891608,0.026418489582781035,,-0.6645810008049011,22.73657791232585,22.804197975887966,0.06762006356211714,1.0,-35.02484893798828,21.35518845812938,21.42168437336404,0.06649591523466114,1.0,-73.88525390625,19.919466236739396,20.01085174770818,0.09138551096878444,1.0,-220.75595092773438,19.261105579999008,19.33139241842855,0.07028683842954209,1.0,-242.2622833251953,18.92596045798153,18.99909484010965,0.07313438212811718,1.0,-78.6058578491211,136082,0,0.09828794399564401,2,0
30,149.92657221822137,2.79257868398547,788016272775341678,i,1.0,True,False,788016272775317217,22.991973887486708,23.032273534874225,0.04029964738751701,1.0,-13.167989730834961,22.13876774656783,22.191391969778447,0.05262422321061777,1.0,-77.01190948486328,21.73053261671975,21.796055961888413,0.0655233451686641,1.0,-73.3765869140625,21.51032361010425,21.6416181170204,0.13129450691614863,1.0,-61.605796813964844,21.42809206903356,21.54268794341633,0.11459587438276841,1.0,-16.660268783569336,21.447232111189404,21.53917039021959,0.09193827903018459,1.0,-5.370659351348877,945490,0,0.04345477948779108,2,0
